"","SensorName","Date","Time","SensorID","delta_t","Unit","Value","Unit.1","Salinity","ReferenceLEDCurrent","MOATS","Treatment","LoadingLocation","GlassVialNumber","Species","TelsonLength..mm.","Size","TrialID","dateTime","KrillID","RESPRound","percentDOassumpt","assumedSatDOmg","percentDO","obseveredSatDOmg","actualDOmg","CorTemp","SalinityConstant","oxygen"
"1","KrilLR11","28-Oct-19",2019-10-28 14:25:02,159906405,0.000333333333333333,"hour",9.579,"mg/l",30.3,48.997,"12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303","Trial01",2019-10-28 14:25:02,"Trial01_KrilLR11","T1Round1",1.05267731238059,9.09965464947414,1.05267731238059,9.09965464947414,9.579,11,30.3,268.78674
"2","KrilLR11","28-Oct-19",2019-10-28 14:25:03,159906405,5e-04,"hour",9.45,"mg/l",30.3,48.997,"12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303","Trial01",2019-10-28 14:25:03,"Trial01_KrilLR11","T1Round1",1.03850095020321,9.09965464947414,1.03850095020321,9.09965464947414,9.45,11,30.3,265.167
"3","KrilLR11","28-Oct-19",2019-10-28 14:25:53,159906405,0.0145,"hour",9.109,"mg/l",30.3,48.997,"12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303","Trial01",2019-10-28 14:25:53,"Trial01_KrilLR11","T1Round1",1.00102700057154,9.09965464947414,1.00102700057154,9.09965464947414,9.109,11,30.3,255.59854
"4","KrilLR11","28-Oct-19",2019-10-28 14:25:54,159906405,0.0146666666666667,"hour",8.949,"mg/l",30.3,48.997,"12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303","Trial01",2019-10-28 14:25:54,"Trial01_KrilLR11","T1Round1",0.983443915700378,9.09965464947414,0.983443915700378,9.09965464947414,8.949,11,30.3,251.10894
"5","KrilLR11","28-Oct-19",2019-10-28 14:25:55,159906405,0.015,"hour",8.901,"mg/l",30.3,48.997,"12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303","Trial01",2019-10-28 14:25:55,"Trial01_KrilLR11","T1Round1",0.978168990239028,9.09965464947414,0.978168990239028,9.09965464947414,8.901,11,30.3,249.76206
"6","KrilLR11","28-Oct-19",2019-10-28 14:25:56,159906405,0.0153333333333333,"hour",8.955,"mg/l",30.3,48.997,"12","CUR","A1",1,"Euphausia pacifica","2.61","0.0303","Trial01",2019-10-28 14:25:56,"Trial01_KrilLR11","T1Round1",0.984103281383046,9.09965464947414,0.984103281383046,9.09965464947414,8.955,11,30.3,251.2773
"7","KrilLR12","28-Oct-19",2019-10-28 14:26:03,222108333,0.0171666666666667,"hour",11.214,"mg/l",30.3,48.997,"blank","blank","A5",2,"Euphausia pacifica","n/a","n/a","Trial01",2019-10-28 14:26:03,"Trial01_KrilLR12","T1Round1",1.23235446090781,9.09965464947414,1.23235446090781,9.09965464947414,11.214,11,30.3,314.66484
"8","KrilLR12","28-Oct-19",2019-10-28 14:26:04,222108333,0.0175,"hour",9.883,"mg/l",30.3,48.997,"blank","blank","A5",2,"Euphausia pacifica","n/a","n/a","Trial01",2019-10-28 14:26:04,"Trial01_KrilLR12","T1Round1",1.08608517363581,9.09965464947414,1.08608517363581,9.09965464947414,9.883,11,30.3,277.31698
"9","KrilLR12","28-Oct-19",2019-10-28 14:26:05,222108333,0.0178333333333333,"hour",9.082,"mg/l",30.3,48.997,"blank","blank","A5",2,"Euphausia pacifica","n/a","n/a","Trial01",2019-10-28 14:26:05,"Trial01_KrilLR12","T1Round1",0.998059854999534,9.09965464947414,0.998059854999534,9.09965464947414,9.082,11,30.3,254.84092
"10","KrilLR12","28-Oct-19",2019-10-28 14:26:06,222108333,0.018,"hour",9.128,"mg/l",30.3,48.997,"blank","blank","A5",2,"Euphausia pacifica","n/a","n/a","Trial01",2019-10-28 14:26:06,"Trial01_KrilLR12","T1Round1",1.00311499189999,9.09965464947414,1.00311499189999,9.09965464947414,9.128,11,30.3,256.13168
"11","KrilLR12","28-Oct-19",2019-10-28 14:26:07,222108333,0.0183333333333333,"hour",9.042,"mg/l",30.3,48.997,"blank","blank","A5",2,"Euphausia pacifica","n/a","n/a","Trial01",2019-10-28 14:26:07,"Trial01_KrilLR12","T1Round1",0.993664083781743,9.09965464947414,0.993664083781743,9.09965464947414,9.042,11,30.3,253.71852
"12","KrilLR13","28-Oct-19",2019-10-28 14:26:14,201822008,0.0203333333333333,"hour",9.431,"mg/l",30.3,48.997,"12","CUR","B2",3,"Euphausia pacifica","3.06","0.025","Trial01",2019-10-28 14:26:14,"Trial01_KrilLR13","T1Round1",1.03641295887476,9.09965464947414,1.03641295887476,9.09965464947414,9.431,11,30.3,264.63386
"13","KrilLR13","28-Oct-19",2019-10-28 14:26:15,201822008,0.0205,"hour",8.979,"mg/l",30.3,48.997,"12","CUR","B2",3,"Euphausia pacifica","3.06","0.025","Trial01",2019-10-28 14:26:15,"Trial01_KrilLR13","T1Round1",0.986740744113721,9.09965464947414,0.986740744113721,9.09965464947414,8.979,11,30.3,251.95074
